Línea ,Lin_desc,MARCA  ,Clave ,Descripción ,EQUIVALENCIA  ,ARMADORA,AUTO,AÑO,DESCRIPCION LARGA  
4,BALERO DOBLE,SYD,2216002,BALERO DOBLE NISSAN PLATINA 02/07 APRIO,579797 4021000QAA,NISSAN,PLATINA,2002,BALERO DOBLE DELANTERO NISSAN MARCH - NOTE - PLATINA - VERSA - CLIO - KANGOO - MEGANE II - SANDERO STEPWAY - SCENIC
4,BALERO DOBLE,SYD,2216002,BALERO DOBLE NISSAN PLATINA 02/07 APRIO,579797 4021000QAA,NISSAN,PLATINA,2003,BALERO DOBLE DELANTERO NISSAN MARCH - NOTE - PLATINA - VERSA - CLIO - KANGOO - MEGANE II - SANDERO STEPWAY - SCENIC
4,BALERO DOBLE,SYD,2216002,BALERO DOBLE NISSAN PLATINA 02/07 APRIO,579797 4021000QAA,NISSAN,PLATINA,2004,BALERO DOBLE DELANTERO NISSAN MARCH - NOTE - PLATINA - VERSA - CLIO - KANGOO - MEGANE II - SANDERO STEPWAY - SCENIC
4,BALERO DOBLE,SYD,2216002,BALERO DOBLE NISSAN PLATINA 02/07 APRIO,579797 4021000QAA,NISSAN,PLATINA,2005,BALERO DOBLE DELANTERO NISSAN MARCH - NOTE - PLATINA - VERSA - CLIO - KANGOO - MEGANE II - SANDERO STEPWAY - SCENIC
4,BALERO DOBLE,SYD,2216002,BALERO DOBLE NISSAN PLATINA 02/07 APRIO,579797 4021000QAA,NISSAN,PLATINA,2006,BALERO DOBLE DELANTERO NISSAN MARCH - NOTE - PLATINA - VERSA - CLIO - KANGOO - MEGANE II - SANDERO STEPWAY - SCENIC
4,BALERO DOBLE,SYD,2216002,BALERO DOBLE NISSAN PLATINA 02/07 APRIO,579797 4021000QAA,NISSAN,PLATINA,2007,BALERO DOBLE DELANTERO NISSAN MARCH - NOTE - PLATINA - VERSA - CLIO - KANGOO - MEGANE II - SANDERO STEPWAY - SCENIC
4,BALERO DOBLE,SYD,2216002,BALERO DOBLE NISSAN PLATINA 02/07 APRIO,579797 4021000QAA,NISSAN,PLATINA,2008,BALERO DOBLE DELANTERO NISSAN MARCH - NOTE - PLATINA - VERSA - CLIO - KANGOO - MEGANE II - SANDERO STEPWAY - SCENIC
4,BALERO DOBLE,SYD,2216002,BALERO DOBLE NISSAN PLATINA 02/07 APRIO,579797 4021000QAA,NISSAN,PLATINA,2009,BALERO DOBLE DELANTERO NISSAN MARCH - NOTE - PLATINA - VERSA - CLIO - KANGOO - MEGANE II - SANDERO STEPWAY - SCENIC
4,BALERO DOBLE,SYD,2216002,BALERO DOBLE NISSAN PLATINA 02/07 APRIO,579797 4021000QAA,NISSAN,PLATINA,2010,BALERO DOBLE DELANTERO NISSAN MARCH - NOTE - PLATINA - VERSA - CLIO - KANGOO - MEGANE II - SANDERO STEPWAY - SCENIC
4,BALERO DOBLE,SYD,2216002,BALERO DOBLE NISSAN PLATINA 02/07 APRIO,579797 4021000QAA,NISSAN,VERSA,2012,BALERO DOBLE DELANTERO NISSAN MARCH - NOTE - PLATINA - VERSA - CLIO - KANGOO - MEGANE II - SANDERO STEPWAY - SCENIC
4,BALERO DOBLE,SYD,2216002,BALERO DOBLE NISSAN PLATINA 02/07 APRIO,579797 4021000QAA,NISSAN,VERSA,2013,BALERO DOBLE DELANTERO NISSAN MARCH - NOTE - PLATINA - VERSA - CLIO - KANGOO - MEGANE II - SANDERO STEPWAY - SCENIC
4,BALERO DOBLE,SYD,2216002,BALERO DOBLE NISSAN PLATINA 02/07 APRIO,579797 4021000QAA,NISSAN,VERSA,2014,BALERO DOBLE DELANTERO NISSAN MARCH - NOTE - PLATINA - VERSA - CLIO - KANGOO - MEGANE II - SANDERO STEPWAY - SCENIC
4,BALERO DOBLE,SYD,2216002,BALERO DOBLE NISSAN PLATINA 02/07 APRIO,579797 4021000QAA,NISSAN,VERSA,2015,BALERO DOBLE DELANTERO NISSAN MARCH - NOTE - PLATINA - VERSA - CLIO - KANGOO - MEGANE II - SANDERO STEPWAY - SCENIC
4,BALERO DOBLE,SYD,2216002,BALERO DOBLE NISSAN PLATINA 02/07 APRIO,579797 4021000QAA,NISSAN,VERSA,2016,BALERO DOBLE DELANTERO NISSAN MARCH - NOTE - PLATINA - VERSA - CLIO - KANGOO - MEGANE II - SANDERO STEPWAY - SCENIC
4,BALERO DOBLE,SYD,2216002,BALERO DOBLE NISSAN PLATINA 02/07 APRIO,579797 4021000QAA,NISSAN,VERSA,2017,BALERO DOBLE DELANTERO NISSAN MARCH - NOTE - PLATINA - VERSA - CLIO - KANGOO - MEGANE II - SANDERO STEPWAY - SCENIC
4,BALERO DOBLE,SYD,2216002,BALERO DOBLE NISSAN PLATINA 02/07 APRIO,579797 4021000QAA,NISSAN,VERSA,2018,BALERO DOBLE DELANTERO NISSAN MARCH - NOTE - PLATINA - VERSA - CLIO - KANGOO - MEGANE II - SANDERO STEPWAY - SCENIC
4,BALERO DOBLE,SYD,2216002,BALERO DOBLE NISSAN PLATINA 02/07 APRIO,579797 4021000QAA,NISSAN,VERSA,2019,BALERO DOBLE DELANTERO NISSAN MARCH - NOTE - PLATINA - VERSA - CLIO - KANGOO - MEGANE II - SANDERO STEPWAY - SCENIC
4,BALERO DOBLE,SYD,2216002,BALERO DOBLE NISSAN PLATINA 02/07 APRIO,579797 4021000QAA,NISSAN,VERSA,2020,BALERO DOBLE DELANTERO NISSAN MARCH - NOTE - PLATINA - VERSA - CLIO - KANGOO - MEGANE II - SANDERO STEPWAY - SCENIC
4,BALERO DOBLE,SYD,2216002,BALERO DOBLE NISSAN PLATINA 02/07 APRIO,579797 4021000QAA,RENAULT,CLIO,2002,BALERO DOBLE DELANTERO NISSAN MARCH - NOTE - PLATINA - VERSA - CLIO - KANGOO - MEGANE II - SANDERO STEPWAY - SCENIC
4,BALERO DOBLE,SYD,2216002,BALERO DOBLE NISSAN PLATINA 02/07 APRIO,579797 4021000QAA,RENAULT,CLIO,2003,BALERO DOBLE DELANTERO NISSAN MARCH - NOTE - PLATINA - VERSA - CLIO - KANGOO - MEGANE II - SANDERO STEPWAY - SCENIC
4,BALERO DOBLE,SYD,2216002,BALERO DOBLE NISSAN PLATINA 02/07 APRIO,579797 4021000QAA,RENAULT,CLIO,2004,BALERO DOBLE DELANTERO NISSAN MARCH - NOTE - PLATINA - VERSA - CLIO - KANGOO - MEGANE II - SANDERO STEPWAY - SCENIC
4,BALERO DOBLE,SYD,2216002,BALERO DOBLE NISSAN PLATINA 02/07 APRIO,579797 4021000QAA,RENAULT,CLIO,2005,BALERO DOBLE DELANTERO NISSAN MARCH - NOTE - PLATINA - VERSA - CLIO - KANGOO - MEGANE II - SANDERO STEPWAY - SCENIC
4,BALERO DOBLE,SYD,2216002,BALERO DOBLE NISSAN PLATINA 02/07 APRIO,579797 4021000QAA,RENAULT,CLIO,2006,BALERO DOBLE DELANTERO NISSAN MARCH - NOTE - PLATINA - VERSA - CLIO - KANGOO - MEGANE II - SANDERO STEPWAY - SCENIC
4,BALERO DOBLE,SYD,2216002,BALERO DOBLE NISSAN PLATINA 02/07 APRIO,579797 4021000QAA,RENAULT,CLIO,2007,BALERO DOBLE DELANTERO NISSAN MARCH - NOTE - PLATINA - VERSA - CLIO - KANGOO - MEGANE II - SANDERO STEPWAY - SCENIC
4,BALERO DOBLE,SYD,2216002,BALERO DOBLE NISSAN PLATINA 02/07 APRIO,579797 4021000QAA,RENAULT,CLIO,2008,BALERO DOBLE DELANTERO NISSAN MARCH - NOTE - PLATINA - VERSA - CLIO - KANGOO - MEGANE II - SANDERO STEPWAY - SCENIC
4,BALERO DOBLE,SYD,2216002,BALERO DOBLE NISSAN PLATINA 02/07 APRIO,579797 4021000QAA,RENAULT,CLIO,2009,BALERO DOBLE DELANTERO NISSAN MARCH - NOTE - PLATINA - VERSA - CLIO - KANGOO - MEGANE II - SANDERO STEPWAY - SCENIC
4,BALERO DOBLE,SYD,2216002,BALERO DOBLE NISSAN PLATINA 02/07 APRIO,579797 4021000QAA,RENAULT,CLIO,2010,BALERO DOBLE DELANTERO NISSAN MARCH - NOTE - PLATINA - VERSA - CLIO - KANGOO - MEGANE II - SANDERO STEPWAY - SCENIC
4,BALERO DOBLE,SYD,2216002,BALERO DOBLE NISSAN PLATINA 02/07 APRIO,579797 4021000QAA,RENAULT,KANGOO,2004,BALERO DOBLE DELANTERO NISSAN MARCH - NOTE - PLATINA - VERSA - CLIO - KANGOO - MEGANE II - SANDERO STEPWAY - SCENIC
4,BALERO DOBLE,SYD,2216002,BALERO DOBLE NISSAN PLATINA 02/07 APRIO,579797 4021000QAA,RENAULT,KANGOO,2005,BALERO DOBLE DELANTERO NISSAN MARCH - NOTE - PLATINA - VERSA - CLIO - KANGOO - MEGANE II - SANDERO STEPWAY - SCENIC
4,BALERO DOBLE,SYD,2216002,BALERO DOBLE NISSAN PLATINA 02/07 APRIO,579797 4021000QAA,RENAULT,KANGOO,2006,BALERO DOBLE DELANTERO NISSAN MARCH - NOTE - PLATINA - VERSA - CLIO - KANGOO - MEGANE II - SANDERO STEPWAY - SCENIC
4,BALERO DOBLE,SYD,2216002,BALERO DOBLE NISSAN PLATINA 02/07 APRIO,579797 4021000QAA,RENAULT,KANGOO,2007,BALERO DOBLE DELANTERO NISSAN MARCH - NOTE - PLATINA - VERSA - CLIO - KANGOO - MEGANE II - SANDERO STEPWAY - SCENIC
4,BALERO DOBLE,SYD,2216002,BALERO DOBLE NISSAN PLATINA 02/07 APRIO,579797 4021000QAA,RENAULT,KANGOO,2008,BALERO DOBLE DELANTERO NISSAN MARCH - NOTE - PLATINA - VERSA - CLIO - KANGOO - MEGANE II - SANDERO STEPWAY - SCENIC
4,BALERO DOBLE,SYD,2216002,BALERO DOBLE NISSAN PLATINA 02/07 APRIO,579797 4021000QAA,RENAULT,KANGOO,2009,BALERO DOBLE DELANTERO NISSAN MARCH - NOTE - PLATINA - VERSA - CLIO - KANGOO - MEGANE II - SANDERO STEPWAY - SCENIC
4,BALERO DOBLE,SYD,2216002,BALERO DOBLE NISSAN PLATINA 02/07 APRIO,579797 4021000QAA,RENAULT,KANGOO,2010,BALERO DOBLE DELANTERO NISSAN MARCH - NOTE - PLATINA - VERSA - CLIO - KANGOO - MEGANE II - SANDERO STEPWAY - SCENIC
4,BALERO DOBLE,SYD,2216002,BALERO DOBLE NISSAN PLATINA 02/07 APRIO,579797 4021000QAA,RENAULT,KANGOO,2011,BALERO DOBLE DELANTERO NISSAN MARCH - NOTE - PLATINA - VERSA - CLIO - KANGOO - MEGANE II - SANDERO STEPWAY - SCENIC
4,BALERO DOBLE,SYD,2216002,BALERO DOBLE NISSAN PLATINA 02/07 APRIO,579797 4021000QAA,RENAULT,KANGOO,2012,BALERO DOBLE DELANTERO NISSAN MARCH - NOTE - PLATINA - VERSA - CLIO - KANGOO - MEGANE II - SANDERO STEPWAY - SCENIC
